Timestamp,Symbol,OrderType,ExicutionType,LotSize,Price,SL,TP,Result,Profit
2025-09-29 16:41:19,XAUUSDm,BUY,MARKET,0.01,3823.085,3822.085,3825.085,PROFIT,2.0
2025-09-29 16:47:14,XAUUSDm,BUY,MARKET,0.01,3827.041,3826.041,3829.041,LOSS,-1.0
2025-09-29 16:47:55,XAUUSDm,BUY,MARKET,0.02,3826.055,3825.055,3828.055,LOSS,-2.0
2025-09-29 16:50:51,XAUUSDm,BUY,MARKET,0.04,3825.218,3824.218,3827.218,PROFIT,8.0
2025-09-29 17:00:03,XAUUSDm,BUY,MARKET,0.01,3830.717,3829.717,3832.717,LOSS,-1.0
2025-09-29 17:00:11,XAUUSDm,BUY,MARKET,0.02,3829.668,3828.668,3831.668,LOSS,-2.0
2025-09-29 17:01:46,XAUUSDm,BUY,MARKET,0.04,3828.415,3827.415,3830.415,PROFIT,8.34
2025-09-29 17:08:11,XAUUSDm,BUY,MARKET,0.01,3824.998,3823.998,3826.998,LOSS,-1.0
2025-09-29 17:09:45,XAUUSDm,BUY,MARKET,0.02,3824.287,3823.287,3826.287,PROFIT,4.0
2025-10-01 11:11:00,XAUUSDm,SELL,MARKET,0.01,3861.83,3862.83,3859.83,PROFIT,2.0
2025-10-01 11:32:42,XAUUSDm,BUY,MARKET,0.01,3861.981,3860.981,3863.981,LOSS,-0.83
2025-10-01 11:34:05,XAUUSDm,BUY,MARKET,0.02,3861.013,3860.013,3863.013,LOSS,-2.0
2025-10-01 11:36:22,XAUUSDm,BUY,MARKET,0.04,3860.161,3859.161,3862.161,PROFIT,8.0
2025-10-01 18:05:44,XAUUSDm,BUY,MARKET,0.01,3869.648,3868.648,3871.648,LOSS,-0.99
2025-10-01 18:07:17,XAUUSDm,BUY,MARKET,0.02,3868.511,3867.511,3870.511,LOSS,-3.64
2025-10-01 18:08:41,XAUUSDm,BUY,MARKET,0.04,3867.596,3866.596,3869.596,PROFIT,8.16
2025-10-02 17:25:08,XAUUSDm,SELL,MARKET,0.01,3881.717,3882.717,3879.717,LOSS,-1.0
2025-10-02 17:26:29,XAUUSDm,SELL,MARKET,0.02,3882.956,3883.956,3880.956,PROFIT,4.38
2025-10-03 17:12:48,XAUUSDm,SELL,MARKET,0.01,3861.966,3862.966,3859.966,LOSS,-1.0
2025-10-03 17:14:23,XAUUSDm,SELL,MARKET,0.02,3862.802,3863.802,3860.802,LOSS,-2.06
2025-10-03 17:16:13,XAUUSDm,SELL,MARKET,0.04,3863.649,3864.649,3861.649,LOSS,-4.0
2025-10-03 17:18:24,XAUUSDm,SELL,MARKET,0.08,3864.682,3865.682,3862.682,PROFIT,16.0
2025-10-06 16:45:51,XAUUSDm,BUY,MARKET,0.01,3936.939,3935.939,3938.939,LOSS,-0.7
2025-10-06 16:46:43,XAUUSDm,BUY,MARKET,0.02,3935.876,3934.876,3937.876,LOSS,-2.32
2025-10-06 16:48:22,XAUUSDm,BUY,MARKET,0.04,3934.493,3933.493,3936.493,PROFIT,8.0
